date,total_events,conflict_events,severe_conflict_events
2024-01-01,67623,23133,13870
2024-01-02,107010,37344,21780
2024-01-03,124453,44135,24647
2024-01-04,137068,48261,26183
2024-01-05,131775,45401,25246
2024-01-06,87905,29706,16837
2024-01-07,76050,24705,13922
2024-01-08,125665,41460,22252
2024-01-09,142743,46392,24982
2024-01-10,145491,46459,24836
2024-01-11,154598,49652,25572
2024-01-12,150064,49783,26196
2024-01-13,92544,31105,16650
2024-01-14,82001,27108,15113
2024-01-15,122137,38524,21408
2024-01-16,140995,45163,23966
2024-01-17,151847,49042,25851
2024-01-18,157003,51909,28166
2024-01-19,143232,47273,25517
2024-01-20,89559,30178,16587
2024-01-21,78894,27329,15400
2024-01-22,127991,39769,21262
2024-01-23,148359,46943,25422
2024-01-24,151385,48287,26009
2024-01-25,156069,49680,26435
2024-01-26,146413,46166,24096
2024-01-27,94857,30735,16409
2024-01-28,82577,27032,14866
2024-01-29,142742,47021,25853
2024-01-30,155276,51059,27710
2024-01-31,157074,51484,27776
2024-02-01,156199,50517,26806
2024-02-02,141958,45951,25215
2024-02-03,92717,31537,17339
2024-02-04,79787,27321,15418
2024-02-05,133420,40843,21644
2024-02-06,153601,47819,25352
2024-02-07,159175,49691,26182
2024-02-08,157124,50031,26465
2024-02-09,145198,46230,24425
2024-02-10,91666,29836,16237
2024-02-11,79018,26491,14066
2024-02-12,132313,42345,22792
2024-02-13,150442,47914,25356
2024-02-14,152626,47778,25267
2024-02-15,156488,49496,25391
2024-02-16,155048,49401,25927
2024-02-17,99270,31014,16831
2024-02-18,83149,26439,14469
2024-02-19,131686,41461,22354
2024-02-20,155447,50368,27155
2024-02-21,162299,52729,28182
2024-02-22,159561,50644,26795
2024-02-23,154666,48554,26099
2024-02-24,102827,32207,17928
2024-02-25,83762,26541,14862
2024-02-26,143858,44653,24475
2024-02-27,164628,51191,27034
2024-02-28,167329,52488,27355
2024-02-29,163549,51021,26617
2024-03-01,157418,48805,25724
2024-03-02,93780,29680,15871
2024-03-03,81718,25702,13917
2024-03-04,138075,42858,22757
2024-03-05,160302,49610,25913
2024-03-06,168219,52828,27156
2024-03-07,165695,51053,27442
2024-03-08,152076,46410,24921
2024-03-09,93462,29251,15975
2024-03-10,80404,24662,13493
2024-03-11,135978,40542,21522
2024-03-12,158152,49580,26668
2024-03-13,154952,47749,25539
2024-03-14,157280,48887,25508
2024-03-15,149592,45944,24034
2024-03-16,89271,29003,16273
2024-03-17,80540,26466,14818
2024-03-18,137142,44024,23333
2024-03-19,157695,50401,26409
2024-03-20,161172,50899,26488
2024-03-21,160409,50556,26823
2024-03-22,151494,48469,25987
2024-03-23,91531,31355,17243
2024-03-24,82193,27840,15923
2024-03-25,137364,45259,24019
2024-03-26,154777,51230,26522
2024-03-27,151961,48762,25753
2024-03-28,148572,46347,24510
2024-03-29,127506,40889,22100
2024-03-30,81601,26774,14641
2024-03-31,72582,24276,13314
2024-04-01,119531,39990,21917
2024-04-02,151259,51361,27800
2024-04-03,153119,49913,26279
2024-04-04,152052,48294,25342
2024-04-05,142415,45324,23800
2024-04-06,87154,29891,16612
2024-04-07,81771,28389,15806
2024-04-08,133619,41968,21930
2024-04-09,148548,46679,24330
2024-04-10,148167,46528,24408
2024-04-11,147354,46261,24325
2024-04-12,145242,46515,24346
2024-04-13,92813,33083,18437
2024-04-14,95964,37521,20673
2024-04-15,141511,48559,26331
2024-04-16,150218,49708,26659
