date,total_events,conflict_events,severe_conflict_events,conflict_share,severe_conflict_share,rolling_mean,rolling_std,rolling_z,lag1_share
2024-01-01,67623,23133,13870,0.3420877512089082,0.2051077296186209,,,,
2024-01-02,107010,37344,21780,0.3489767311466218,0.20353238015138772,,,,0.3420877512089082
2024-01-03,124453,44135,24647,0.3546318690590022,0.1980426345688734,,,,0.3489767311466218
2024-01-04,137068,48261,26183,0.35209531035690317,0.19102197449441152,,,,0.3546318690590022
2024-01-05,131775,45401,25246,0.34453424397647503,0.1915841396319484,0.34944791544285886,0.0054245155580008204,-0.9058267809991754,0.35209531035690317
2024-01-06,87905,29706,16837,0.33793299584779024,0.19153631761560777,0.3484651811495821,0.005186314706528675,-2.030764791140352,0.34453424397647503
2024-01-07,76050,24705,13922,0.3248520710059172,0.1830637738330046,0.34670981693261677,0.006325038291847555,-3.455749185719934,0.33793299584779024
2024-01-08,125665,41460,22252,0.3299248000636613,0.17707396649822943,0.3435872818002311,0.010079186676777405,-1.3555143063327093,0.3248520710059172
2024-01-09,142743,46392,24982,0.325003677938673,0.17501383605500795,0.34184971735091013,0.011349162436724456,-1.4843420830532355,0.3299248000636613
2024-01-10,145491,46459,24836,0.319325594022998,0.17070471713026922,0.3384249954640603,0.012407757024736907,-1.5393113681211288,0.325003677938673
2024-01-11,154598,49652,25572,0.3211684497858963,0.16540964307429593,0.3333812418874883,0.011886707134481473,-1.0274327417527256,0.319325594022998
2024-01-12,150064,49783,26196,0.33174512208124535,0.1745655187120162,0.328963118948773,0.009220087663476444,0.3017328287986566,0.3211684497858963
2024-01-13,92544,31105,16650,0.3361103907330567,0.17991441908713693,0.32713610153516876,0.006480403247826095,1.3848349947819145,0.33174512208124535
2024-01-14,82001,27108,15113,0.330581334373971,0.18430263045572615,0.32687572937592113,0.005992552902100541,0.6183683412708774,0.3361103907330567
2024-01-15,122137,38524,21408,0.3154162948164766,0.17527858061029827,0.3276941955713574,0.0060609576872309515,-2.0257360946022698,0.330581334373971
2024-01-16,140995,45163,23966,0.32031632327387494,0.16997765878222632,0.3256215519646167,0.007484556749513169,-0.7088233636663672,0.3154162948164766
2024-01-17,151847,49042,25851,0.3229698314751032,0.1702437321777842,0.3249519298696456,0.007753885749724862,-0.255626463752412,0.32031632327387494
2024-01-18,157003,51909,28166,0.3306242555874728,0.17939784590103375,0.3254725352199463,0.007428686680584499,0.6934900594193847,0.3229698314751032
2024-01-19,143232,47273,25517,0.33004496201966044,0.17815153038427167,0.32682336462017153,0.007375118141785463,0.4368197685181734,0.3306242555874728
2024-01-20,89559,30178,16587,0.33696222601860226,0.18520751683247916,0.3265804846113737,0.007212214916836119,1.4394664505897565,0.33004496201966044
2024-01-21,78894,27329,15400,0.3464015007478389,0.19519862093441834,0.32670217536645163,0.007404436142376331,2.6604760987330325,0.33696222601860226
2024-01-22,127991,39769,21262,0.31071715980029846,0.16612105538670688,0.32896219913414704,0.010537359262654368,-1.7314622078523154,0.3464015007478389
2024-01-23,148359,46943,25422,0.31641491247581877,0.17135461953774292,0.3282908941318358,0.011636515980945426,-1.020578812031346,0.31071715980029846
2024-01-24,151385,48287,26009,0.3189681936783697,0.17180698219770782,0.32773354973211355,0.012163618948287904,-0.7206207372171599,0.31641491247581877
2024-01-25,156069,49680,26435,0.3183207427483997,0.1693802100353049,0.327161887189723,0.01251380986613732,-0.7065110095085937,0.3189681936783697
2024-01-26,146413,46166,24096,0.31531353090231057,0.1645755499853155,0.3254042424984269,0.01280706354763995,-0.7879020478488874,0.3183207427483997
2024-01-27,94857,30735,16409,0.32401404218982255,0.17298670630528057,0.3232997523388055,0.013123828781376771,0.05442694071342005,0.31531353090231057
2024-01-28,82577,27032,14866,0.3273550746575923,0.1800259152064134,0.32145001179183696,0.011713991161568198,0.5041034079937604,0.32401404218982255
2024-01-29,142742,47021,25853,0.3294125064802231,0.18111698028611062,0.3187290937789446,0.0055343583804063606,1.9303796333648442,0.3273550746575923
2024-01-30,155276,51059,27710,0.32882737834565545,0.17845642597697003,0.3213998575903624,0.005534559627312277,1.342025609163066,0.3294125064802231
